Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
G?12/13 Signaling	2.58	0.254	-1.257	"AKT3,CDC42,CDH11,CDH13,CDH18,CDH2,CDH5,CTNNB1,F2RL1,GNA12,LPAR1,LPAR2,MAPK1,MAPK10,MAPK8,MEF2A,MEF2C,NFKBIB,NFKBIE,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PXN,RALA,RAP1A,RAP2B,RASA1,RHOA,ROCK1,ROCK2"
STAT3 Pathway	2.58	0.252	-0.928	"BMPR2,CDKN1A,CISH,EGF,EGFR,FGF2,GHR,IFNLR1,IL15RA,IL22RA2,IL2RA,IL2RB,INSR,JAK2,MAP3K12,MAP3K9,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,NTRK3,PDGFB,PDGFRA,RALA,RAP1A,RAP2B,SOCS6,SOCS7,STAT3,TGFA,TGFBR3,TNFRSF11A,VEGFA"
Dopamine Receptor Signaling	2.56	0.286	-0.632	"ADCY2,ADCY3,ADCY5,DRD2,GCH1,MAOB,PPP1CB,PPP1CC,PPP1R1B,PPP1R3C,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B"
Leukocyte Extravasation Signaling	2.56	0.234	-1.441	"ACTN4,ARHGAP5,ARHGAP6,CDC42,CDH5,CLDN11,CLDN4,CRK,CTNNA2,CTNNB1,CTNND1,GNAI2,GNAI3,ITGA1,ITGB1,JAM2,MAPK1,MAPK10,MAPK14,MAPK8,MMP14,MMP15,MMP16,MMP19,MMP24,NCF1,NCF4,NOX1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,PXN,RAP1A,RASSF5,RDX,RHOA,RHOH,ROCK1,ROCK2,SELPLG,VCAM1,VCL"
Neuropathic Pain Signaling In Dorsal Horn Neurons	2.55	0.267	-1.347	"BDNF,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CREB1,GRIA1,GRIN2B,GRINA,GRM5,KCNN3,MAPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,TACR1"
D-myo-inositol-5-phosphate Metabolism	2.54	0.244	1.151	"ACP1,CA3,DUSP15,DUSP16,DUSP5,EYA4,FIG4,G6PC2,HACD2,MTMR4,MTMR8,NT5C,OCRL,PAWR,PGAM5,PIKFYVE,PIP4P2,PLCB1,PLCB4,PLPP7,PPFIA1,PPFIA2,PPM1H,PPP1CC,PPP1R12C,PPP1R16B,PPP1R1A,PPP1R1B,PPP2R3A,PPP2R5B,PPP2R5E,PPTC7,PTEN,PTPN22,PTPRH,PTPRJ,RASA1,STYX"
Thrombin Signaling	2.53	0.231	-0.801	"ADCY2,ADCY3,ADCY5,AKT3,ARHGEF11,ARHGEF2,ARHGEF5,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CDC42,CREB1,EGF,EGFR,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,MAPK1,MAPK14,MPRIP,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPP1CB,PRKCB,PRKD1,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2,SOS1"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	2.53	0.248	1.372	"ACP1,CA3,DUSP15,DUSP16,DUSP5,EYA4,FIG4,G6PC2,HACD2,MTMR4,MTMR8,NT5C,OCRL,PAWR,PGAM5,PIKFYVE,PLPP7,PPFIA1,PPFIA2,PPM1H,PPP1CC,PPP1R12C,PPP1R16B,PPP1R1A,PPP1R1B,PPP2R3A,PPP2R5B,PPP2R5E,PPTC7,PTEN,PTPN22,PTPRH,PTPRJ,RASA1,STYX"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	2.53	0.248	1.372	"ACP1,CA3,DUSP15,DUSP16,DUSP5,EYA4,FIG4,G6PC2,HACD2,MTMR4,MTMR8,NT5C,OCRL,PAWR,PGAM5,PIKFYVE,PLPP7,PPFIA1,PPFIA2,PPM1H,PPP1CC,PPP1R12C,PPP1R16B,PPP1R1A,PPP1R1B,PPP2R3A,PPP2R5B,PPP2R5E,PPTC7,PTEN,PTPN22,PTPRH,PTPRJ,RASA1,STYX"
ATM Signaling	2.49	0.268	0.853	"ATM,BRAT1,CBX3,CBX5,CDKN1A,CREB1,CREB3,CREB5,CREBBP,H2AX,MAPK10,MAPK14,MAPK8,PPP1CC,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,RBBP8,TLK1,TLK2,TP73,ZEB1"
Phospholipase C Signaling	2.49	0.222	-0.302	"ADCY2,ADCY3,ADCY5,AHNAK,ARHGEF11,ARHGEF17,ARHGEF2,ARHGEF5,CALM1 (includes others),CD247,CD79B,CDC42,CREB1,CREB3,CREB5,CREBBP,GNAQ,GNG10,GNG12,GNG13,GNG4,HDAC5,HDAC8,ITGB1,MAPK1,MARCKS,MEF2A,MEF2C,MPRIP,NAPEPLD,NFAT5,NFATC2,NFATC3,NRAS,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PLCB1,PLCB4,PLD5,PPP1CB,PPP3R1,PRKCB,PRKD1,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,RPS6KA3,SOS1,SYK,TGM2"
SAPK/JNK Signaling	2.48	0.265	-3	"CDC42,CRK,GAB1,GNA12,IRS1,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAP4K4,MAPK10,MAPK8,MAPK8IP1,MAPK8IP3,MINK1,NFATC3,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,SOS1"
G?q Signaling	2.44	0.241	-2.502	"ADRA1D,AKT3,CALM1 (includes others),CDC42,EPM2A,GNAQ,GNG10,GNG12,GNG13,GNG4,GRM5,GSK3B,HRH1,HTR2A,MAPK1,NAPEPLD,NFATC2,NFATC3,NFKBIB,NFKBIE,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PLD5,PPP3R1,PRKCB,PRKD1,RGS18,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2"
Leptin Signaling in Obesity	2.43	0.284	-2.111	"ADCY2,ADCY3,ADCY5,AKT3,JAK2,MAPK1,PDE3A,PDE3B,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,STAT3"
Sumoylation Pathway	2.42	0.262	-2.065	"ARHGDIA,CDC42,CREBBP,CTBP2,DNMT3A,ETS1,MAPK10,MAPK8,MYB,PML,RAN,RCOR1,RFC1,RHOA,RHOBTB2,RHOH,RND1,RNF4,RPA1,SENP1,SENP2,SENP5,SP1,SP100,UBE2I,XIAP,ZEB1"
PI3K Signaling in B Lymphocytes	2.42	0.246	-0.539	"AKT3,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CBL,CD180,CD79B,CREB1,FOXO3,IRS1,MAPK1,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,NRAS,PDPK1,PIK3AP1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PLCB1,PLCB4,PPP3R1,PRKCB,PTEN,RALA,RAP1A,RAP2B,SYK"
ErbB2-ErbB3 Signaling	2.4	0.292	-1.147	"CCND1,ERBB3,GSK3B,MAPK1,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,RALA,RAP1A,RAP2B,SOS1,SP1,STAT3,STAT5B"
Acute Myeloid Leukemia Signaling	2.38	0.27	-2.132	"AKT3,CCND1,HNF1A,KIT,MAP2K6,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PML,RALA,RAP1A,RAP2B,RARA,RPS6KB2,SOS1,STAT3,STAT5B,TCF4,TCF7,TCF7L1"
RhoGDI Signaling	2.38	0.233	0.18	"ARHGAP5,ARHGAP6,ARHGDIA,ARHGEF11,ARHGEF17,ARHGEF2,ARHGEF5,ARPC4,ARPC5,CDC42,CDH11,CDH13,CDH18,CDH2,CDH5,CFL2,CREBBP,ESR1,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,GRIP1,ITGB1,LIMK1,PAK2,PAK5,PIKFYVE,PIP4K2B,PIP5K1A,PPP1R12C,RDX,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2"
Fc? Receptor-mediated Phagocytosis in Macrophages and Monocytes	2.37	0.266	0	"AKT3,ARF6,ARPC4,ARPC5,CBL,CDC42,CRK,FYB1,GAB2,HCK,MAPK1,MYO5A,NAPEPLD,NCF1,PIK3R1,PIK3R3,PIP5K1A,PLD5,PRKCB,PRKD1,PTEN,PXN,RAB11A,RPS6KB2,SYK"
tRNA Splicing	2.36	0.326	-2.496	"APEX1,FICD,GDPD1,MPPED2,NAPEPLD,PDE3A,PDE3B,PDE4D,PDE5A,PDE6C,PDE7A,PDE7B,PDE8B,PDE9A"
IL-2 Signaling	2.35	0.295	-0.5	"AKT3,CSNK2A1,IL2RA,IL2RB,MAPK1,MAPK8,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,SOS1,STAT5B,SYK"
GP6 Signaling Pathway	2.35	0.252	0	"ADAM10,AKT3,APBB1IP,CALM1 (includes others),CERT1,COL15A1,COL19A1,COL20A1,COL23A1,COL24A1,COL27A1,COL28A1,COL3A1,COL6A5,COL8A1,FGB,FGG,GSK3B,LAMB3,LAMC2,NOX1,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,SYK"
UVB-Induced MAPK Signaling	2.34	0.308	-1.807	"EGFR,EIF4E,H3-3A/H3-3B,MAPK1,MAPK10,MAPK14,MAPK8,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RPS6KA3,RPS6KA5"
Role of NFAT in Regulation of the Immune Response	2.34	0.232	-2.197	"AKT3,CALM1 (includes others),CD247,CD79B,CD86,CSNK1A1,CSNK1D,CSNK1G1,CSNK1G3,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,GSK3B,HLA-DMB,MAPK1,MEF2A,MEF2C,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPP3R1,RALA,RAP1A,RAP2B,SOS1,SYK,XPO1"
Adrenomedullin signaling pathway	2.33	0.228	-1.718	"ADCY2,ADCY3,ADCY5,AKT3,ARNT,CALM1 (includes others),GAD1,GNAQ,GSK3B,GUCY1A2,GUCY1B1,IL1F10,IL1RN,IL36RN,KCNN3,MAP2K6,MAPK1,MAPK10,MAPK14,MAPK6,MAPK8,MYLK2,NRAS,NT5C,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPARG,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKG1,RALA,RAMP2,RAP1A,RAP2B,SHE,SLC39A7,SOS1"
Germ Cell-Sertoli Cell Junction Signaling	2.32	0.234	NaN	"ACTN4,CDC42,CDH2,CFL2,CTNNA2,CTNNB1,CTNND1,ITGB1,KEAP1,LIMK1,MAP2K6,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,PAK2,PAK5,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PXN,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,TJP1,TUBA4A,VCL"
Hereditary Breast Cancer Signaling	2.31	0.243	NaN	"AKT3,ARID2,ATM,BARD1,CCND1,CDK6,CDKN1A,CREBBP,E2F1,FANCF,FANCM,H2AX,HDAC5,HDAC8,MSH6,NRAS,PBRM1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,POLR2F,PTEN,RALA,RAP1A,RAP2B,RB1,RFC1,RPA1,RPS27A,SMARCD1,UBD,WEE1"
FAK Signaling	2.31	0.263	NaN	"AKT3,CAPN10,CAPN8,CRK,EGF,EGFR,GIT2,ITGB1,MAPK1,NRAS,PAK2,PAK5,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,PXN,RALA,RAP1A,RAP2B,SOS1,VCL"
IL-6 Signaling	2.3	0.248	-0.18	"AKT3,CSNK2A1,HSPB7,IL1F10,IL1RAPL1,IL1RN,IL36RN,JAK2,MAP2K6,MAP3K7,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK8,MCL1,NFKBIB,NFKBIE,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,SOS1,SRF,STAT3,VEGFA"
Wnt/Ca+ pathway	2.27	0.29	-1.886	"CAMK2A,CREB1,CREB3,CREB5,CREBBP,FZD3,FZD4,FZD5,FZD8,FZD9,GSK3B,NFAT5,NFATC2,NFATC3,PDE6C,PLCB1,PLCB4,ROR1"
Tight Junction Signaling	2.21	0.232	NaN	"AKT3,ARHGEF2,CASK,CDC42,CLDN11,CLDN4,CPSF6,CSTF1,CSTF2,CTNNB1,GOSR1,JAM2,MYH11,NAPG,NECTIN1,OCLN,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PTEN,RHOA,SMURF1,SNAP25,STX4,TIAM1,TJP1,TJP2,VAPA,VCL,VTI1A"
LPS-stimulated MAPK Signaling	2.2	0.268	-0.853	"CDC42,CREB1,MAP2K6,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,NFKBIB,NFKBIE,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SRF"
Apelin Adipocyte Signaling Pathway	2.2	0.268	-0.655	"ADCY2,ADCY3,ADCY5,APLN,GNAI2,GNAI3,MAPK1,MAPK10,MAPK14,MAPK6,MAPK8,NCF1,NOX1,PPARGC1A,PRDX6,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B"
NF-?B Signaling	2.19	0.229	-2.03	"AKT3,BMP2,BMPR2,CASP8,CREBBP,CSNK2A1,EGF,EGFR,GHR,GSK3B,IL1F10,IL1RN,IL36RN,INSR,MAP2K6,MAP3K3,MAP3K7,MAP4K4,MAPK8,NFKBIB,NFKBIE,NRAS,NTRK3,PDGFRA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKACA,PRKACB,PRKCB,RALA,RAP1A,RAP2B,TGFA,TGFBR3,TNFRSF11A,TNFSF11,TRAF3,UBE2V1"
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	2.17	0.667	1	"PSTK,SARS1,SEPHS1,SEPSECS"
Sertoli Cell-Sertoli Cell Junction Signaling	2.16	0.227	NaN	"ACTN4,AKT3,CDC42,CLDN11,CLDN4,CTNNA2,CTNNB1,GSK3B,GUCY1A2,GUCY1B1,ITGB1,JAM2,KEAP1,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK10,MAPK14,MAPK8,MPP6,NECTIN1,NRAS,OCLN,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKG1,PTEN,RALA,RAP1A,RAP2B,SPTBN1,TGFBR3,TJP1,TJP2,TUBA4A,VCL"
p38 MAPK Signaling	2.13	0.246	0.816	"CREB1,CREB3,CREB5,CREBBP,H3-3A/H3-3B,HSPB7,IL1F10,IL1RAPL1,IL1RN,IL36RN,IRAK2,MAP2K6,MAP3K7,MAPK14,MEF2A,MEF2C,MKNK2,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,RPS6KB2,RPS6KC1,SRF"
Paxillin Signaling	2.12	0.25	-2.2	"ACTN4,ARF6,ARFIP2,CDC42,CRK,GIT2,ITGA1,ITGB1,ITGB8,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PXN,RALA,RAP1A,RAP2B,SOS1,VCL"
Cardiomyocyte Differentiation via BMP Receptors	2.12	0.4	0.816	"BMP10,BMP2,BMPR2,MAP3K7,MEF2C,NKX2-5,NPPA,SMAD6"
p53 Signaling	2.12	0.255	0.229	"AKT3,ATM,CCND1,CCND2,CDKN1A,CSNK1D,CTNNB1,E2F1,GSK3B,HIPK2,MAPK14,MAPK8,MED1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PML,PTEN,RB1,TP53AIP1,TP53INP1,TP73,WT1"
Protein Ubiquitination Pathway	2.1	0.212	NaN	"AMFR,BAP1,CBL,DNAJB14,DNAJC11,DNAJC13,DNAJC14,DNAJC24,DNAJC25,DNAJC3,DNAJC30,DNAJC5B,DNAJC7,FBXW7,HSPA4L,HSPA9,HSPB6,HSPB7,MED20,PSMD11,RPS27A,SASS6,SMURF1,SMURF2,TAP2,UBD,UBE2B,UBE2D2,UBE2E1,UBE2F,UBE2G1,UBE2H,UBE2I,UBE2J1,UBE2K,UBE2L6,UBE2Q1,UBE2V1,UBE2W,UBE2Z,UBR2,UCHL3,USO1,USP11,USP12,USP14,USP24,USP3,USP31,USP32,USP42,USP43,USP47,USP49,USP9X,USP9Y,XIAP,ZBTB12"
EGF Signaling	2.09	0.291	-1	"AKT3,CSNK2A1,EGF,EGFR,MAPK1,MAPK14,MAPK8,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RASA1,SOS1,SRF,STAT3"
Agrin Interactions at Neuromuscular Junction	2.08	0.266	-1.414	"CDC42,CHRNA1,EGFR,ERBB3,ERBB4,GABPA,GABPB1,ITGA1,ITGB1,MAPK1,MAPK10,MAPK8,NRAS,PAK2,PAK5,PKLR,PXN,RALA,RAP1A,RAP2B,RAPSN"
PFKFB4 Signaling Pathway	2.07	0.304	-2.138	"CREB1,CREB3,CREB5,CREBBP,FGF2,MAP2K6,MAPK1,NCOA3,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RPS6KA5"
CD40 Signaling	2.04	0.277	-2	"MAP2K6,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,NFKBIB,NFKBIE,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTGS1,PTGS2,STAT3,TRAF1,TRAF3"
IL-17A Signaling in Airway Cells	2.04	0.277	-1.213	"AKT3,GSK3B,IL17A,JAK2,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,NFKBIB,NFKBIE,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,STAT3"
Regulation of Cellular Mechanics by Calpain Protease	2.04	0.277	0.535	"ACTN4,CAPN10,CAPN8,CAST,CCNA2,CCND1,CDK6,EGF,EGFR,ITGB1,MAPK1,NRAS,PXN,RALA,RAP1A,RAP2B,RB1,VCL"
IL-15 Signaling	2.02	0.267	0.447	"AKT3,IL15RA,IL17A,IL2RB,JAK2,MAPK1,MAPK14,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RPS6KB2,STAT3,STAT5B,SYK"
JAK/Stat Signaling	2.01	0.262	-0.655	"AKT3,CDKN1A,CISH,GNAQ,JAK2,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,SOCS6,SOCS7,SOS1,STAT3,STAT4,STAT5B"
Synaptic Long Term Depression	2	0.222	-0.324	"CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,GAD1,GNA12,GNAI2,GNAI3,GNAQ,GRIA1,GRM5,GUCY1A2,GUCY1B1,MAPK1,NRAS,NT5C,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PLA2R1,PLCB1,PLCB4,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKCB,PRKD1,PRKG1,RALA,RAP1A,RAP2B,SLC39A7"
Maturity Onset Diabetes of Young (MODY) Signaling	1.98	0.381	NaN	"CACNA1C,FABP2,FOXA2,HNF1A,HNF1B,INSR,PKLR,SLC2A2"
Small Cell Lung Cancer Signaling	1.96	0.268	-1.155	"AKT3,CCND1,CCNE2,CDK6,E2F1,NFKBIB,NFKBIE,PA2G4,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,PTGS2,RARB,RB1,TRAF1,TRAF3"
Erythropoietin Signaling	1.95	0.263	NaN	"AKT3,CBL,JAK2,MAPK1,NFKBIB,NFKBIE,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1,STAT5B"
Sperm Motility	1.94	0.215	0	"ABL2,AXL,CALM1 (includes others),DYRK1A,EGFR,EPHA4,EPHA5,EPHA8,ERBB3,ERBB4,FRK,GUCY1A2,GUCY1B1,HCK,INSR,JAK2,KIT,LMTK2,MAP2K6,NPPA,NTRK3,PDE4D,PDGFRA,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PLA2R1,PLCB1,PLCB4,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PRKG1,PTK7,RET,ROR1,SLC12A2,SLC9A5,SYK,TNK2,TWF1,TYRO3"
Inhibition of Angiogenesis by TSP1	1.94	0.324	-1.134	"AKT3,CD36,GUCY1A2,GUCY1B1,MAPK1,MAPK10,MAPK14,MAPK8,SDC1,SDC2,VEGFA"
Actin Cytoskeleton Signaling	1.92	0.216	-1.298	"ACTN4,ARHGAP24,ARPC4,ARPC5,CDC42,CFL2,CRK,DIAPH2,DIAPH3,EGF,FGD3,FGF1,FGF13,FGF17,FGF2,GNA12,GNG12,ITGB1,LIMK1,MAPK1,MPRIP,MYH11,MYLK2,NRAS,PAK2,PAK5,PDGFA,PDGFB,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PIP5K1A,PPP1CB,PXN,RALA,RAP1A,RAP2B,RDX,RHOA,ROCK1,ROCK2,SOS1,SSH1,TIAM1,VCL"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	1.91	0.241	0.192	"ADCY2,ADCY3,ADCY5,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,PLCB1,PLCB4,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1"
Cell Cycle: G1/S Checkpoint Regulation	1.9	0.269	1.213	"ATM,BMI1,CCND1,CCND2,CCNE2,CDK6,CDKN1A,E2F1,E2F2,E2F3,E2F5,E2F7,GSK3B,HDAC5,HDAC8,PA2G4,RB1,SMAD3"
Bladder Cancer Signaling	1.89	0.247	-0.302	"CCND1,CDKN1A,DAPK1,E2F1,EGF,EGFR,FGF1,FGF13,FGF17,FGF2,MAPK1,MMP14,MMP15,MMP16,MMP19,MMP24,NRAS,PA2G4,RALA,RAP1A,RAP2B,RB1,RPS6KA5,VEGFA"
PAK Signaling	1.89	0.247	-3.128	"CDC42,CFL2,DSCAM,ITGB1,LIMK1,MAPK1,MAPK10,MAPK8,NRAS,PAK2,PAK5,PDGFA,PDGFB,PDGFRA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PXN,RALA,RAP1A,RAP2B,SOS1"
Salvage Pathways of Pyrimidine Ribonucleotides	1.89	0.247	-2.449	"ACVR2A,AK4,CDK5,CDK6,CDK8,CSNK1A1,CSNK1D,DAPK1,DYRK1A,GRK6,LIMK1,MAK,MAP2K6,MAP3K9,MAPK1,MAPK6,MAPK8,NME1,PAK2,PAK5,PLK1,PRKAA2,PRPF4B,UCK2"
Antiproliferative Role of Somatostatin Receptor 2	1.89	0.26	-0.905	"CDKN1A,GAD1,GNG10,GNG12,GNG13,GNG4,GUCY1A2,GUCY1B1,MAPK1,NRAS,NT5C,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,SLC39A7"
HMGB1 Signaling	1.89	0.224	-0.557	"AKT3,CDC42,CNTF,EDA,HMGB1,IL11,IL12B,IL17A,IL17D,IL1F10,KAT7,MAP2K6,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLAT,RALA,RAP1A,RAP2B,RBBP7,RHOA,RHOBTB2,RHOH,RND1,SP1,TNFSF10,TNFSF11,TNFSF13,TNFSF9,VCAM1"
April Mediated Signaling	1.88	0.308	-1.732	"MAPK1,MAPK10,MAPK14,MAPK8,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,TNFSF13,TRAF1,TRAF3"
RhoA Signaling	1.88	0.236	0.392	"ABL2,ARHGAP5,ARHGAP6,ARHGEF11,ARPC4,ARPC5,CFL2,CIT,GNA12,KTN1,LIMK1,LPAR1,LPAR2,MPRIP,MYLK2,NRP2,PIKFYVE,PIP4K2B,PIP5K1A,PPP1CB,RAPGEF2,RDX,RHOA,ROCK1,ROCK2,RTKN,SEPTIN11,SEPTIN2,SEPTIN8"
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.86	0.207	1.192	"AKT3,BCL2L11,CALM1 (includes others),CBL,CCND1,CCND2,CD79B,CNTF,CTNNB1,EDA,FOXO3,GAB1,GSK3B,HCK,IFIT2,IL11,IL12B,IL17A,IL17D,IL1F10,JAK2,MAP3K7,MAP4K4,MAPK1,MAVS,MCL1,NFAT5,NFATC2,NFATC3,NRAS,OCRL,PAG1,PDPK1,PIK3AP1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP3R1,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SHE,SOS1,STAT3,SYK,TMEM173,TNFRSF13C,TNFSF10,TNFSF11,TNFSF13,TNFSF9,TRAF1,TRAF3"
Thrombopoietin Signaling	1.84	0.27	-1.213	"GAB2,JAK2,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1,STAT3,STAT5B"
IL-23 Signaling Pathway	1.84	0.295	-0.832	"AKT3,IL12B,IL17A,JAK2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RORA,STAT3,STAT4,TNFSF11"
